x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,y
27,1,1,1,18,3,1,28,119.9,154,121.4,1,0,404,1,0,0,0,0,0,0,0,1,0,0,0,115,0,0,562,0,389,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,a
30,0,1,1,18,13,3,19,86.7,132.9,129,0,0,303,1,0,0,0,0,0,0,1,1,0,0,0,129,0,0,624,0,266,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,a
37,0,1,1,1,3,14,33,174,128.1,100.2,0,0,454,1,0,0,0,0,0,0,0,1,0,0,0,173,0,0,562,0,411,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,b
29,0,1,1,14,9,3,29,8.8,126.8,55.5,1,0,383,1,1,0,0,0,0,0,0,0,1,0,0,281,0,0,624,0,611,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
33,1,1,0,2,15,12,39,55,187.6,156.6,1,0,404,0,0,0,0,0,0,0,0,1,0,0,1,220,0,0,562,0,289,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,a
33,0,0,1,5,5,12,26,144.7,150.9,57.7,0,0,404,1,0,0,0,0,0,0,0,0,0,1,0,173,0,0,812,0,255,0,0,0,512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,b
29,1,0,1,16,1,2,24,48.5,16.6,113.3,0,0,404,0,0,0,0,0,0,0,0,1,0,0,0,103,1,0,812,0,466,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,b
27,1,1,1,13,4,17,34,4.9,172.3,38.5,0,0,30,1,0,0,0,0,0,0,0,0,1,0,0,102,0,0,375,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,a
28,1,1,1,0,0,2,40,121.3,90,122.4,0,0,202,1,1,0,0,0,0,0,0,0,1,0,0,99,0,0,187,0,910,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a
27,0,1,0,8,18,18,26,69.1,171.2,100.2,1,0,404,1,0,0,0,0,0,0,0,0,0,0,0,112,0,0,624,0,244,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,a
29,1,0,0,3,14,1,24,53.2,150.3,9,0,0,454,1,0,0,0,0,0,0,0,1,0,0,0,142,0,0,687,0,611,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,a
